date,product_id,daily_sales,inventory_level
2021-01-01,P001,32.5,141.45
2021-01-02,P001,40.18,153.92
2021-01-03,P001,24.66,141.08
2021-01-04,P001,24.51,139.82
2021-01-05,P001,26.44,136.58
2021-01-06,P001,19.73,129.71
2021-01-07,P001,23.36,132.55
2021-01-08,P001,24.88,117.9
2021-01-09,P001,41.81,152.82
2021-01-10,P001,43.03,133.47
2021-01-11,P001,34.71,130.77
2021-01-12,P001,34.42,151.45
2021-01-13,P001,26.41,138.82
2021-01-14,P001,20.28,139.15
2021-01-15,P001,34.18,135.46
2021-01-16,P001,32.74,125.22
2021-01-17,P001,45.59,147.19
2021-01-18,P001,35.97,140.99
2021-01-19,P001,28.49,133.28
2021-01-20,P001,21.46,136.79
2021-01-21,P001,34.69,135.08
2021-01-22,P001,32.96,140.48
2021-01-23,P001,37.84,131.95
2021-01-24,P001,40.11,148.61
2021-01-25,P001,41.35,145.38
2021-01-26,P001,33.67,130.17
2021-01-27,P001,29.89,131.53
2021-01-28,P001,31.8,133.96
2021-01-29,P001,48.57,149.87
2021-01-30,P001,39.8,161.51
2021-01-31,P001,40.96,143.97
2021-02-01,P001,35.07,136.63
2021-02-02,P001,36.96,119.98
2021-02-03,P001,,131.01
2021-02-04,P001,30.29,131.65
2021-02-05,P001,32.42,129.57
2021-02-06,P001,39.01,156.83
2021-02-07,P001,49.64,151.99
2021-02-08,P001,46.1,162.99
2021-02-09,P001,38.19,142.81
2021-02-10,P001,26.84,131.21
2021-02-11,P001,34.0,137.11
2021-02-12,P001,39.78,143.82
2021-02-13,P001,46.87,168.06
2021-02-14,P001,52.55,133.35
2021-02-15,P001,44.54,128.53
2021-02-16,P001,40.54,139.11
2021-02-17,P001,32.76,136.9
2021-02-18,P001,35.83,146.74
2021-02-19,P001,44.34,153.07
2021-02-20,P001,38.26,138.42
2021-02-21,P001,46.83,161.02
2021-02-22,P001,41.79,156.09
2021-02-23,P001,34.02,139.86
2021-02-24,P001,32.06,145.68
2021-02-25,P001,44.4,151.13
2021-02-26,P001,36.67,135.06
2021-02-27,P001,54.1,165.08
2021-02-28,P001,39.91,145.02
2021-03-01,P001,43.83,147.85
2021-03-02,P001,40.04,158.77
2021-03-03,P001,38.41,117.9
2021-03-04,P001,40.86,130.68
2021-03-05,P001,47.76,139.89
2021-03-06,P001,47.31,147.67
2021-03-07,P001,48.31,149.76
2021-03-08,P001,52.04,140.97
2021-03-09,P001,38.94,133.09
2021-03-10,P001,28.23,123.63
2021-03-11,P001,30.76,159.33
2021-03-12,P001,38.42,160.44
2021-03-13,P001,53.29,153.17
2021-03-14,P001,52.82,153.19
2021-03-15,P001,51.89,144.4
2021-03-16,P001,38.35,123.27
2021-03-17,P001,37.64,140.47
2021-03-18,P001,42.08,136.1
2021-03-19,P001,42.82,145.97
2021-03-20,P001,53.76,141.75
2021-03-21,P001,,145.05
2021-03-22,P001,46.22,151.7
2021-03-23,P001,39.24,146.9
2021-03-24,P001,30.1,138.27
2021-03-25,P001,41.8,132.6
2021-03-26,P001,42.38,154.93
2021-03-27,P001,51.59,147.58
2021-03-28,P001,55.99,166.32
2021-03-29,P001,51.51,155.4
2021-03-30,P001,45.92,136.16
2021-03-31,P001,37.05,137.89
2021-04-01,P001,36.68,144.34
2021-04-02,P001,45.03,155.16
2021-04-03,P001,41.66,144.25
2021-04-04,P001,44.67,163.99
2021-04-05,P001,41.11,155.18
2021-04-06,P001,36.13,137.57
2021-04-07,P001,40.19,151.7
2021-04-08,P001,33.91,157.25
2021-04-09,P001,43.33,166.94
2021-04-10,P001,59.64,151.36
2021-04-11,P001,51.25,145.98
2021-04-12,P001,53.47,172.32
2021-04-13,P001,36.48,129.9
2021-04-14,P001,36.5,127.27
